City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
11,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Bubaque,GW,78.15,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
17,Buta,CD,77.45,clear sky,2.7858,24.73,HOTEL BISO NA BISO
19,Atuona,PF,80.13,few clouds,-9.8,-139.0333,Villa Enata
20,Saint-Philippe,RE,77.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
24,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Cape Town,ZA,75.2,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Marabba,SD,77.67,clear sky,12.35,32.1833,
43,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
46,Cusuna,HN,83.5,clear sky,15.85,-85.2333,
48,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
50,Rikitea,PF,78.03,clear sky,-23.1203,-134.9692,Pension Maro'i
57,Tenenkou,ML,76.48,broken clouds,14.4572,-4.9169,
59,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
67,Yangambi,CD,76.5,clear sky,0.8102,24.4336,
68,Avarua,CK,82.4,overcast clouds,-21.2078,-159.775,Paradise Inn
71,Saint-Pierre,RE,77.0,few clouds,-21.3393,55.4781,Lindsey Hôtel
73,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
74,Kavieng,PG,82.09,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
78,Carnarvon,AU,75.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
83,Cabo San Lucas,MX,81.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Luwuk,ID,78.42,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
89,Ugoofaaru,MV,82.35,overcast clouds,5.6667,73.0,Ungoofaaru Inn
97,Altinopolis,BR,82.4,scattered clouds,-21.0256,-47.3739,Hotel Vila das Palmeiras
98,Mar Del Plata,AR,75.2,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Maicao,CO,85.77,scattered clouds,11.3832,-72.2432,Hotel Sancho
111,La Troncal,EC,86.0,moderate rain,-2.4,-79.3333,TRONCAL INN
113,Soyo,AO,79.92,broken clouds,-6.1349,12.3689,Hotel Mpampa
114,Cabedelo,BR,77.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
116,Bac Lieu,VN,77.52,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
120,Vanimo,PG,77.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
