City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhangjiakou,CN,40.81,114.8794,30.18,84,100,5.32,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,73.0,81,0,7.0,clear sky
2,Albany,US,42.6001,-73.9662,43.0,58,100,11.36,overcast clouds
3,Castro,BR,-24.7911,-50.0119,67.26,92,26,9.86,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,50.0,57,40,23.02,scattered clouds
5,Kapaa,US,22.0752,-159.319,75.2,73,75,20.71,light rain
6,Clyde River,CA,70.4692,-68.5914,-31.0,75,1,5.75,clear sky
7,Suihua,CN,46.6406,126.9969,-3.44,91,100,7.02,overcast clouds
8,Busselton,AU,-33.65,115.3333,63.0,79,100,1.01,overcast clouds
9,Roald,NO,62.5833,6.1333,42.8,87,75,26.46,broken clouds
10,Constitucion,CL,-35.3333,-72.4167,71.65,47,0,17.45,clear sky
11,Souillac,MU,-20.5167,57.5167,78.8,83,40,3.44,scattered clouds
12,Pevek,RU,69.7008,170.3133,-24.34,88,0,2.46,clear sky
13,Beringovskiy,RU,63.05,179.3167,-11.09,89,100,15.99,overcast clouds
14,Guilin,CN,25.2819,110.2864,51.8,100,75,2.04,fog
15,Bubaque,GW,11.2833,-15.8333,78.15,64,95,17.2,overcast clouds
16,Ostrovnoy,RU,68.0531,39.5131,32.38,97,100,21.27,light snow
17,Buta,CD,2.7858,24.73,77.45,34,0,2.46,clear sky
18,Kodiak,US,57.79,-152.4072,24.8,46,1,33.38,clear sky
19,Atuona,PF,-9.8,-139.0333,80.13,79,17,16.44,few clouds
20,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,20,8.05,few clouds
21,Nome,US,64.5011,-165.4064,-11.2,64,1,7.2,clear sky
22,Mount Gambier,AU,-37.8333,140.7667,57.2,88,90,11.5,overcast clouds
23,Bambous Virieux,MU,-20.3428,57.7575,79.0,83,40,3.44,light rain
24,Hithadhoo,MV,-0.6,73.0833,82.63,62,89,7.34,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,75.2,64,0,8.05,clear sky
26,Dikson,RU,73.5069,80.5464,-14.55,87,100,21.81,overcast clouds
27,Custoias,PT,41.1053,-7.321,50.0,73,0,0.92,clear sky
28,Tiznit,MA,29.5833,-9.5,53.11,79,21,4.61,few clouds
29,Nandu,CN,22.8525,110.8233,71.01,79,15,1.86,few clouds
30,Hobart,AU,-42.8794,147.3294,61.0,94,75,4.61,broken clouds
31,Sao Filipe,CV,14.8961,-24.4956,68.16,71,3,11.12,clear sky
32,Iqaluit,CA,63.7506,-68.5145,-14.8,53,75,5.75,broken clouds
33,Staraya Mayna,RU,54.6,48.95,3.2,78,44,11.18,scattered clouds
34,Punta Arenas,CL,-53.15,-70.9167,57.2,38,20,13.8,few clouds
35,Lebu,CL,-37.6167,-73.65,63.61,70,3,21.52,clear sky
36,Beidao,CN,34.5686,105.8933,33.53,78,100,10.87,overcast clouds
37,Bluff,NZ,-46.6,168.3333,62.01,94,92,4.0,overcast clouds
38,Southbridge,US,42.0751,-72.0334,42.01,56,100,5.28,overcast clouds
39,Marabba,SD,12.35,32.1833,77.67,16,2,16.42,clear sky
40,Usinsk,RU,65.9939,57.5281,2.79,94,97,15.75,overcast clouds
41,Qaanaaq,GL,77.484,-69.3632,-5.67,89,81,1.19,broken clouds
42,Coihaique,CL,-45.5752,-72.0662,56.53,84,100,6.55,light rain
43,Port Moresby,PG,-9.4431,147.1797,75.2,88,40,8.05,scattered clouds
44,Tiksi,RU,71.6872,128.8694,-30.14,85,100,4.52,overcast clouds
45,Fereydunshahr,IR,32.941,50.121,25.29,69,80,4.56,broken clouds
46,Cusuna,HN,15.85,-85.2333,83.5,56,4,14.23,clear sky
47,Faya,SA,18.3851,42.4509,59.0,88,0,12.66,clear sky
48,Vaini,TO,-21.2,-175.2,80.6,78,75,3.44,broken clouds
49,Mataura,NZ,-46.1927,168.8643,62.01,94,92,4.0,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,78.03,77,7,12.55,clear sky
51,Kruisfontein,ZA,-34.0033,24.7314,70.0,83,42,3.0,scattered clouds
52,Virginia Beach,US,36.8529,-75.978,71.6,68,90,13.8,overcast clouds
53,Hasaki,JP,35.7333,140.8333,42.8,81,75,3.44,broken clouds
54,Kaitangata,NZ,-46.2817,169.8464,60.91,85,74,6.8,broken clouds
55,Taltal,CL,-25.4,-70.4833,71.56,64,22,6.96,few clouds
56,Strezhevoy,RU,60.7333,77.5889,-13.0,84,0,4.47,clear sky
57,Tenenkou,ML,14.4572,-4.9169,76.48,19,61,2.53,broken clouds
58,Nuuk,GL,64.1835,-51.7216,10.4,92,90,13.8,light snow
59,Quatre Cocos,MU,-20.2078,57.7625,79.0,83,40,3.44,scattered clouds
60,Hami,CN,42.8,93.45,25.5,32,0,2.15,clear sky
61,Callaguip,PH,18.0714,120.4867,73.4,94,20,2.3,few clouds
62,Teguise,ES,29.0605,-13.564,62.6,72,20,8.05,few clouds
63,Lidkoping,SE,58.5052,13.1577,39.99,100,0,8.05,clear sky
64,Pichayevo,RU,53.2363,42.2032,11.75,96,87,2.98,overcast clouds
